AnnualIncome,Investments,Deductions,HRA,Age,EmploymentType,MaritalStatus,TaxLiability,TaxBurdenRatio,TaxSavings,StandardDeduction,EffectiveStrategy
1019013.72,90432.0,67390.0,97951.22,47,Business,Single,41065.52,0.0403,276866.76,0,Aggressive_Tax_Planning
2140374.13,5891.0,21298.0,646588.98,68,Retired,Single,186315.0,0.087,481481.73,0,Senior_Planning
339496.75,39014.41,29999.13,43974.51,22,Private,Single,0.0,0.0,105922.99,50000,Standard_Planning
633835.43,78571.04,24653.89,213072.7,73,Private,Married,3511.97,0.0055,194244.69,50000,Senior_Planning
1993606.63,63006.0,25107.0,237529.11,41,Self-Employed,Married,247404.93,0.1241,374600.34,0,High_Income_Strategy
347681.18,2069.18,36332.35,115770.22,69,Private,Married,0.0,0.0,108476.53,50000,Senior_Planning
1764192.01,49173.0,37258.0,107430.04,46,Private,Married,216943.26,0.123,333484.64,50000,High_Income_Strategy
495788.28,12616.22,60744.58,15132.2,49,Business,Married,8179.36,0.0165,146506.59,0,Standard_Planning
2058139.24,143792.0,43552.0,702286.57,75,Government,Single,113049.8,0.0549,529089.64,50000,Senior_Planning
1538597.07,105516.0,24174.0,549693.14,59,Self-Employed,Married,56037.37,0.0364,424004.91,0,High_Income_Strategy
2059105.42,58866.0,73944.0,802593.74,73,Business,Married,103729.95,0.0504,538710.94,0,Senior_Planning
782635.37,126539.98,61775.67,88805.26,73,Government,Married,13573.5,0.0173,230608.73,50000,Senior_Planning
1938988.97,119846.0,68290.0,98056.5,41,Private,Single,242672.5,0.1252,362292.06,50000,High_Income_Strategy
1105388.88,65044.0,89804.0,35034.6,72,Private,Married,64818.98,0.0586,280062.35,50000,Senior_Planning
1165409.62,11266.0,38317.0,437612.27,50,Private,Single,31534.29,0.0271,332073.51,50000,Aggressive_Tax_Planning
418615.57,20051.56,18501.38,76304.92,69,Government,Married,2795.4,0.0067,127812.66,50000,Senior_Planning
1669519.65,143249.0,71201.0,43455.71,75,Business,Married,172019.62,0.103,348870.51,0,Senior_Planning
767437.05,119912.17,71304.83,303053.72,71,Self-Employed,Married,1204.65,0.0016,238235.71,0,Senior_Planning
2092469.9,149572.0,68760.0,490157.45,60,Private,Married,164834.92,0.0788,488015.69,50000,Senior_Planning
1410672.58,56096.0,40279.0,182241.85,55,Private,Married,105467.59,0.0748,334662.25,50000,Aggressive_Tax_Planning
2668859.93,141221.0,21299.0,589121.2,37,Private,Single,325172.24,0.1218,507512.05,50000,High_Income_Strategy
470761.14,61837.75,28625.49,111197.91,20,Private,Single,993.2,0.0021,145884.28,50000,Standard_Planning
1844128.81,87687.0,31407.0,221849.98,59,Self-Employed,Single,195993.67,0.1063,379374.52,0,High_Income_Strategy
600204.7,94099.68,20289.32,95095.04,47,Government,Single,7317.47,0.0122,179946.39,50000,Standard_Planning
2963359.24,121927.0,2671.0,95807.12,54,Self-Employed,Single,582801.69,0.1967,341766.4,0,High_Income_Strategy
1854013.72,4851.0,70321.0,154657.95,32,Self-Employed,Single,233745.34,0.1261,344706.94,0,High_Income_Strategy
554894.49,788.94,13580.58,10445.09,38,Private,Married,16128.31,0.0291,156998.77,50000,Standard_Planning
2055691.39,44629.0,5745.0,217531.09,65,Business,Single,284789.33,0.1385,356586.39,0,Senior_Planning
713332.43,92498.78,32992.46,63536.3,74,Self-Employed,Married,15527.71,0.0218,207032.01,0,Senior_Planning
954372.87,36958.63,57689.66,336971.89,27,Private,Married,15366.28,0.0161,282398.06,50000,Standard_Planning
2362785.06,64215.0,66196.0,59287.06,36,Self-Employed,Married,405003.14,0.1714,332185.8,0,High_Income_Strategy
819515.3,13937.51,4077.37,227640.11,48,Private,Married,20681.47,0.0252,235007.3,50000,Standard_Planning
654734.55,29314.15,23053.51,245239.62,66,Private,Married,5570.62,0.0085,198706.56,50000,Senior_Planning
1453478.41,93133.0,2310.0,129745.17,21,Government,Married,125484.37,0.0863,328000.89,50000,Aggressive_Tax_Planning
1163941.42,710.0,89330.0,161122.2,73,Private,Married,64393.56,0.0553,298756.16,50000,Senior_Planning
2090674.15,147572.0,25541.0,789257.73,39,Private,Married,104687.11,0.0501,547603.22,50000,High_Income_Strategy
1201159.63,105777.0,90579.0,80609.15,20,Private,Married,66174.34,0.0551,308587.47,50000,Aggressive_Tax_Planning
2230930.23,131345.0,8123.0,835497.04,62,Private,Single,131550.95,0.059,564499.28,50000,Senior_Planning
2654832.69,147361.0,29554.0,937864.39,47,Government,Married,207496.63,0.0782,620811.17,50000,High_Income_Strategy
1777431.14,83985.0,58928.0,591849.88,39,Self-Employed,Married,86875.0,0.0489,467683.52,0,High_Income_Strategy
987510.28,39758.33,69826.14,159415.44,32,Government,Married,35725.08,0.0362,272378.13,50000,Standard_Planning
1778329.89,41712.0,16501.0,63278.87,35,Private,Single,243933.46,0.1372,310905.46,50000,High_Income_Strategy
1817918.05,45867.0,21354.0,623349.11,32,Business,Married,104488.37,0.0575,462702.06,0,High_Income_Strategy
2136810.24,28445.0,77652.0,630446.21,55,Private,Married,169069.43,0.0791,497615.37,50000,High_Income_Strategy
1800485.6,22827.0,78247.0,603499.48,24,Business,Single,97949.72,0.0544,463801.79,0,High_Income_Strategy
2458721.11,26838.0,77219.0,930738.44,56,Private,Married,175220.67,0.0713,591900.31,50000,High_Income_Strategy
2456503.43,46581.0,69383.0,415348.01,39,Private,Single,327659.72,0.1334,438769.35,50000,High_Income_Strategy
1118166.18,89339.0,57868.0,163197.54,69,Retired,Married,48010.82,0.0429,300857.03,0,Senior_Planning
2411310.46,81785.0,5478.0,833707.26,53,Private,Married,192488.45,0.0798,559840.41,50000,High_Income_Strategy
2840799.53,127702.0,58515.0,844006.48,45,Government,Married,291899.73,0.1028,594429.72,50000,High_Income_Strategy
2904769.33,44647.0,86080.0,21604.9,51,Business,Married,585760.48,0.2017,320527.55,0,High_Income_Strategy
387543.71,78198.6,14640.21,96983.61,72,Private,Married,0.0,0.0,120913.64,50000,Senior_Planning
2981803.65,19960.0,66592.0,1078547.78,52,Private,Married,293811.61,0.0985,636511.13,50000,High_Income_Strategy
1287166.92,24214.0,83033.0,483640.08,48,Private,Married,33413.1,0.026,368182.98,50000,Aggressive_Tax_Planning
300000.0,51834.36,15169.95,51344.96,26,Government,Single,0.0,0.0,93600.0,50000,Standard_Planning
865066.16,132828.25,13235.46,250447.94,31,Private,Single,11364.83,0.0131,258535.81,50000,Standard_Planning
3153511.61,18397.0,37406.0,43940.21,62,Retired,Married,679775.74,0.2156,304119.88,0,Senior_Planning
1826189.38,83008.0,21757.0,514822.21,48,Private,Married,120973.25,0.0662,448797.84,50000,High_Income_Strategy
1253977.65,58507.0,62247.0,350679.94,68,Private,Married,44076.82,0.0351,347164.21,50000,Senior_Planning
2483255.16,118970.0,45855.0,16297.09,41,Private,Married,445265.52,0.1793,329510.09,50000,High_Income_Strategy
1130073.83,66840.0,8465.0,395811.09,54,Self-Employed,Married,29531.61,0.0261,323051.43,0,Aggressive_Tax_Planning
2923185.7,71662.0,44102.0,484722.8,58,Private,Married,451682.06,0.1545,460351.88,50000,High_Income_Strategy
326052.39,60417.07,41675.23,75428.57,44,Self-Employed,Married,0.0,0.0,101728.34,0,Standard_Planning
1777230.68,135232.0,53268.0,97494.72,21,Private,Single,192721.35,0.1084,361774.62,50000,High_Income_Strategy
2605616.87,100098.0,48235.0,304384.89,56,Private,Single,398704.48,0.153,414247.98,50000,High_Income_Strategy
1099995.03,114315.0,54034.0,37266.79,20,Private,Married,61523.16,0.0559,281675.29,50000,Aggressive_Tax_Planning
2063947.25,114274.0,77937.0,683634.35,36,Private,Married,117125.2,0.0567,526826.35,50000,High_Income_Strategy
2230404.57,41273.0,63974.0,666168.45,67,Private,Married,184337.17,0.0826,511549.05,50000,Senior_Planning
341278.67,52005.53,34351.33,119313.87,21,Business,Married,0.0,0.0,106478.95,0,Standard_Planning
1559794.51,102479.0,42990.0,566671.78,49,Self-Employed,Married,54233.98,0.0348,432421.9,0,High_Income_Strategy
1772193.42,44466.0,80651.0,290126.39,20,Self-Employed,Single,157807.01,0.089,395117.34,0,High_Income_Strategy
2104998.99,124813.0,23745.0,754616.46,61,Self-Employed,Married,119979.5,0.057,536780.18,0,Senior_Planning
1927684.15,92127.0,70789.0,232885.77,28,Private,Single,204947.3,0.1063,396490.15,50000,High_Income_Strategy
1425350.77,126867.0,65955.0,428812.45,21,Private,Single,47379.75,0.0332,397329.7,50000,Aggressive_Tax_Planning
3103598.79,31486.0,19035.0,685650.6,54,Private,Married,465637.28,0.15,502685.54,50000,High_Income_Strategy
889132.23,21129.25,47826.98,171717.64,23,Private,Single,28439.67,0.032,248969.59,50000,Standard_Planning
403161.04,8112.55,10205.02,89036.27,74,Retired,Married,2381.97,0.0059,123404.27,0,Senior_Planning
533693.26,77012.35,38420.63,1615.63,70,Private,Single,8665.52,0.0162,157846.78,50000,Senior_Planning
1947384.22,38314.0,89440.0,701053.25,50,Government,Married,102664.01,0.0527,504919.87,50000,High_Income_Strategy
928341.81,116152.99,21662.03,294321.09,23,Private,Married,12802.7,0.0138,276839.95,50000,Standard_Planning
352347.63,31936.54,3156.87,102.2,21,Private,Married,3491.91,0.0099,106440.56,50000,Standard_Planning
2163980.92,41010.0,21614.0,35381.28,42,Business,Married,371584.4,0.1717,303577.65,0,High_Income_Strategy
308312.06,10818.26,16240.54,54651.58,35,Private,Married,0.0,0.0,96193.36,50000,Standard_Planning
1113364.86,103258.0,32623.0,122812.12,70,Retired,Single,55328.79,0.0497,292041.04,0,Senior_Planning
1027220.16,130432.0,67747.0,48630.77,66,Private,Married,43744.02,0.0426,276748.67,50000,Senior_Planning
672379.78,115052.7,27456.51,151712.15,66,Retired,Married,6664.24,0.0099,203118.26,0,Senior_Planning
709242.6,76579.78,45768.34,221603.39,39,Private,Single,5995.14,0.0085,215288.55,50000,Standard_Planning
1941638.34,69501.0,52454.0,644346.07,22,Private,Single,114470.15,0.059,491321.01,50000,High_Income_Strategy
312882.18,34271.25,34360.0,20450.41,66,Government,Married,0.0,0.0,97619.24,50000,Senior_Planning
1518239.47,86389.0,47002.0,456661.11,27,Private,Single,66797.23,0.044,406893.49,50000,High_Income_Strategy
1012819.23,92917.0,10713.0,191096.52,75,Self-Employed,Single,35681.64,0.0352,280317.96,0,Senior_Planning
617184.59,78900.3,53861.98,46005.37,33,Government,Single,9797.68,0.0159,182763.91,50000,Standard_Planning
3119895.71,26540.0,96205.0,522251.0,44,Private,Single,499168.71,0.16,474238.75,50000,High_Income_Strategy
1824337.09,10398.0,42192.0,220201.09,52,Government,Married,211082.35,0.1157,358110.82,50000,High_Income_Strategy
1825077.01,44614.0,30531.0,151607.22,35,Government,Married,225677.33,0.1237,343746.69,50000,High_Income_Strategy
1079740.01,59036.0,65209.0,336102.46,22,Business,Single,25416.83,0.0235,311462.06,0,Aggressive_Tax_Planning
1806701.32,67116.0,43182.0,223349.92,72,Government,Married,187993.89,0.1041,375696.93,50000,Senior_Planning
471769.55,50846.4,38891.4,143101.16,38,Private,Married,0.0,0.0,147192.1,50000,Standard_Planning
1761095.32,29716.0,77475.0,74381.75,66,Retired,Married,219811.04,0.1248,329650.7,0,Senior_Planning
1761755.15,6729.0,27141.0,170577.37,69,Private,Married,212880.03,0.1208,336787.58,50000,Senior_Planning
1604890.82,80490.0,85546.0,427657.33,35,Business,Married,80329.08,0.0501,420396.86,0,High_Income_Strategy
1312043.9,113330.0,16893.0,145776.45,44,Private,Married,85497.25,0.0652,323860.45,50000,Aggressive_Tax_Planning
1373500.51,149781.0,53842.0,172235.82,20,Private,Single,77632.1,0.0565,350900.05,50000,Aggressive_Tax_Planning
2362861.37,132462.0,81101.0,65921.44,41,Private,Married,377013.6,0.1596,360199.15,50000,High_Income_Strategy
2781866.67,30440.0,40853.0,880132.74,42,Self-Employed,Married,298097.57,0.1072,569844.83,0,High_Income_Strategy
734746.47,62274.5,12892.35,18432.19,52,Government,Married,27679.33,0.0377,201561.57,50000,Standard_Planning
1398481.5,21934.0,70030.0,477751.27,58,Retired,Married,51287.53,0.0367,385038.7,0,Aggressive_Tax_Planning
1609824.15,12328.0,27494.0,59358.49,38,Government,Single,198320.82,0.1232,303944.31,50000,High_Income_Strategy
1951608.89,18027.0,17202.0,182816.24,41,Private,Married,267871.86,0.1373,341030.12,50000,High_Income_Strategy
1575691.95,143496.0,84706.0,331222.02,52,Private,Single,81383.73,0.0516,410232.16,50000,High_Income_Strategy
707052.71,35092.49,52537.38,199150.94,31,Self-Employed,Married,8854.14,0.0125,211746.31,0,Standard_Planning
2178453.18,36767.0,13183.0,793916.13,59,Self-Employed,Married,151992.63,0.0698,527684.76,0,High_Income_Strategy
1581588.32,57637.0,48305.0,483324.42,69,Self-Employed,Married,76802.22,0.0486,416653.34,0,Senior_Planning
1929061.85,113658.0,27896.0,107212.1,54,Self-Employed,Married,251252.27,0.1302,350615.02,0,High_Income_Strategy
730346.85,46202.71,9338.22,269261.52,23,Government,Single,8088.31,0.0111,219779.91,50000,Standard_Planning
1481037.19,51640.0,99368.0,158654.98,59,Private,Married,113645.83,0.0767,348437.77,50000,Aggressive_Tax_Planning
2939177.06,57572.0,91172.0,152594.95,44,Private,Married,550005.49,0.1871,367017.75,50000,High_Income_Strategy
2647548.45,8277.0,35370.0,1037467.5,61,Private,Married,215727.39,0.0815,610307.72,50000,Senior_Planning
1651688.43,15324.0,47465.0,497287.15,48,Private,Married,97055.35,0.0588,418271.44,50000,High_Income_Strategy
1137820.19,35003.0,20375.0,86203.06,52,Private,Married,77413.3,0.068,277586.59,50000,Aggressive_Tax_Planning
1097266.04,130149.0,43655.0,277292.57,61,Private,Married,28201.63,0.0257,314145.38,50000,Senior_Planning
623182.67,9806.56,35237.34,126039.02,35,Private,Married,10509.19,0.0169,183923.81,50000,Standard_Planning
1539949.97,96188.0,9789.0,359255.03,34,Private,Married,93541.33,0.0607,386923.06,50000,High_Income_Strategy
772343.49,1674.56,14269.03,17687.73,64,Private,Married,37826.07,0.049,203145.1,50000,Senior_Planning
603435.48,85896.1,58644.1,153483.31,73,Private,Married,2881.42,0.0048,185390.45,50000,Senior_Planning
1819122.46,146495.0,40956.0,68047.77,55,Business,Married,214850.59,0.1181,352715.62,0,High_Income_Strategy
1006611.99,89697.0,33249.0,106557.11,51,Private,Married,43228.99,0.0429,270833.96,50000,Aggressive_Tax_Planning
1086249.46,149183.0,56454.0,37503.84,69,Private,Married,53524.95,0.0493,285384.89,50000,Senior_Planning
1282950.18,123020.0,88935.0,93890.76,68,Retired,Single,74428.29,0.058,325852.17,0,Senior_Planning
1773273.69,110428.0,42639.0,636258.99,28,Self-Employed,Married,75495.84,0.0426,477765.55,0,High_Income_Strategy
1110143.47,140320.0,95989.0,376157.18,66,Private,Married,12879.22,0.0116,333485.54,50000,Senior_Planning
1921216.17,142166.0,55552.0,161577.11,21,Private,Single,214319.37,0.1116,385100.07,50000,High_Income_Strategy
1702290.95,108630.0,20545.0,638314.24,63,Private,Single,67829.07,0.0398,463285.71,50000,Senior_Planning
471448.85,3795.21,4167.54,176384.34,20,Business,Single,1929.29,0.0041,145162.75,0,Standard_Planning
1645969.53,3256.0,41841.0,160015.58,65,Private,Married,179622.81,0.1091,333919.69,50000,Senior_Planning
354488.08,70187.89,9781.59,44837.22,75,Government,Married,0.0,0.0,110600.28,50000,Senior_Planning
1312261.91,131560.0,62681.0,415234.93,31,Private,Married,34089.74,0.026,375335.98,50000,Aggressive_Tax_Planning
325126.84,12163.56,34986.52,94274.81,71,Retired,Married,0.0,0.0,101439.57,0,Senior_Planning
901501.31,79599.27,43290.14,215597.03,41,Government,Married,19553.55,0.0217,261714.86,50000,Standard_Planning
1728693.97,51205.0,52081.0,318824.14,43,Business,Single,144711.79,0.0837,394640.72,0,High_Income_Strategy
509900.43,11030.52,43564.33,164803.14,42,Government,Married,2106.13,0.0041,156982.81,50000,Standard_Planning
1675555.71,8255.0,9038.0,439043.12,38,Private,Married,123597.68,0.0738,399175.71,50000,High_Income_Strategy
3054971.3,34175.0,60535.0,1076740.03,55,Private,Married,314658.64,0.103,638492.41,50000,High_Income_Strategy
1044463.8,137171.0,81847.0,58683.47,54,Business,Single,41614.92,0.0398,284257.78,0,Aggressive_Tax_Planning
1585308.35,111037.0,41201.0,123669.3,74,Private,Married,145444.27,0.0917,349171.93,50000,Senior_Planning
1625665.54,3551.0,70807.0,626013.54,28,Private,Married,66345.86,0.0408,440861.78,50000,High_Income_Strategy
1154955.57,20945.0,16159.0,215342.6,40,Private,Single,62791.4,0.0544,297554.74,50000,Aggressive_Tax_Planning
717388.37,116516.26,50884.97,262904.1,64,Private,Married,1928.32,0.0027,221896.85,50000,Senior_Planning
702774.05,64787.18,13201.67,2727.01,23,Government,Single,25694.05,0.0366,193571.45,50000,Standard_Planning
776634.32,70267.95,3873.17,60190.98,64,Private,Married,27799.43,0.0358,214510.48,50000,Senior_Planning
1118252.03,118123.0,64295.0,195838.35,30,Private,Married,37959.55,0.0339,310935.08,50000,Aggressive_Tax_Planning
1433755.66,9870.0,49728.0,539526.59,29,Private,Married,52202.45,0.0364,395129.32,50000,Aggressive_Tax_Planning
821530.85,30583.75,50368.25,315810.86,23,Private,Single,9087.94,0.0111,247229.69,50000,Standard_Planning
1871386.28,29834.0,24143.0,57587.86,33,Private,Married,276064.28,0.1475,307808.24,50000,High_Income_Strategy
862118.77,110486.05,51024.21,15298.42,65,Government,Married,32272.25,0.0374,236708.81,50000,Senior_Planning
1389953.48,80914.0,14466.0,103957.44,58,Private,Married,117648.14,0.0846,316017.35,50000,Aggressive_Tax_Planning
1630813.39,90585.0,55929.0,600868.65,45,Private,Married,59815.19,0.0367,448998.58,50000,High_Income_Strategy
566089.24,103486.88,42034.76,183768.74,46,Private,Married,0.0,0.0,176619.84,50000,Standard_Planning
800318.03,85535.38,30984.36,193980.9,28,Private,Single,12470.5,0.0156,237228.72,50000,Standard_Planning
621916.57,23905.96,49611.29,123044.25,26,Business,Single,9118.46,0.0147,184919.51,0,Standard_Planning
442002.47,69215.85,2062.82,107344.09,35,Private,Married,695.74,0.0016,137209.03,50000,Standard_Planning
1060615.29,5129.0,58614.0,414208.45,56,Private,Married,21597.04,0.0204,309314.93,50000,Aggressive_Tax_Planning
622090.24,100065.65,42262.66,62497.3,61,Government,Single,8697.76,0.014,185394.39,50000,Senior_Planning
1648994.07,106707.0,45227.0,52112.53,25,Private,Single,180686.36,0.1096,333799.79,50000,High_Income_Strategy
1044899.15,32584.0,4817.0,243650.46,46,Private,Married,41160.24,0.0394,284848.3,50000,Aggressive_Tax_Planning
459746.71,81763.47,40052.22,163020.12,28,Private,Married,0.0,0.0,143440.97,50000,Standard_Planning
1266858.74,91452.0,29585.0,477928.26,46,Self-Employed,Married,30460.92,0.024,364799.0,0,Aggressive_Tax_Planning
1718152.75,122635.0,28467.0,481580.34,58,Private,Married,95777.85,0.0557,440285.81,50000,High_Income_Strategy
770601.46,111668.18,37133.47,39186.12,68,Private,Single,21591.82,0.028,218835.83,50000,Senior_Planning
1030917.53,144286.0,78082.0,254724.87,67,Private,Married,18597.76,0.018,303048.5,50000,Senior_Planning
2839241.47,120261.0,65883.0,572649.55,50,Government,Married,376099.75,0.1325,509743.59,50000,High_Income_Strategy
986119.11,11475.4,2272.7,375102.83,49,Government,Married,23115.89,0.0234,284553.27,50000,Standard_Planning
390400.45,76239.4,9306.06,15426.5,36,Private,Single,2050.28,0.0053,119754.66,50000,Standard_Planning
2288963.33,75004.0,66752.0,891244.5,69,Private,Single,131550.34,0.0575,582606.22,50000,Senior_Planning
1386340.35,149046.0,43436.0,521767.73,23,Business,Single,30897.42,0.0223,401640.77,0,Aggressive_Tax_Planning
1952955.98,60784.0,25625.0,262366.78,74,Self-Employed,Single,227504.22,0.1165,381818.04,0,Senior_Planning
2256613.64,80493.0,38656.0,106669.75,42,Self-Employed,Married,360608.01,0.1598,343455.45,0,High_Income_Strategy
1009946.61,6950.0,70343.0,53162.77,50,Private,Married,59200.57,0.0586,255902.77,50000,Aggressive_Tax_Planning
512091.65,32387.22,39350.48,82126.87,75,Private,Married,5627.81,0.011,154144.79,50000,Senior_Planning
303723.32,10056.82,39325.11,9426.34,56,Private,Married,0.0,0.0,94761.68,50000,Standard_Planning
1924366.77,134269.0,40628.0,49685.54,53,Business,Married,257332.68,0.1337,343069.75,0,High_Income_Strategy
2219620.01,146922.0,47373.0,21211.85,41,Private,Married,352283.31,0.1587,340238.14,50000,High_Income_Strategy
847794.3,130978.86,74253.34,145650.58,22,Private,Single,12839.4,0.0151,251672.42,50000,Standard_Planning
